"","Var","Selected","Mean_OLS","Prediction","Hist_mean","Shapley"
"1","AMDMNOx",0.006,-0.0247914043313049,0.782996004294811,0.734256916949727,-7.24986252666469e-06
"2","AMDMUOx",0.001,-0.213770433254735,1.58284794080121,0.639309083306547,-0.000201700710359312
"3","ANDENOx",0.001,-0.15683154674516,0.0817717798350603,0.629244821299675,8.58610438941725e-05
"4","AWHMAN",0.064,0.169226548629944,1.59884555225809,1.55198798789043,0.00050749080928924
"5","BAA",0.002,-0.0225836588448882,0.743197897533676,0.782119132346332,1.75796777766161e-06
"6","BAAFFM",0.001,0.39509049788283,0.764276380980555,0.850264123209123,-3.39729398889055e-05
"7","BUSINVx",0.016,0.074977787762312,0.796540394833922,0.646353528666731,0.000180170863618727
"8","CE16OV",0.005,-0.0176149054063383,-0.299291030973403,0.676494690470728,8.59418659004697e-05
"9","CES0600000007",0.029,0.00989334045735916,1.34055746188275,1.45619503953669,-3.31772158364479e-05
"10","CES0600000008",0.001,0.452889976939597,0.786888931712704,0.812566490659148,-1.16291090791204e-05
"11","CES2000000008",0.001,0.268820128942025,0.911353571926976,0.808510619808069,2.76462556493832e-05
"12","CLAIMSx",0.002,-0.109488127630368,0.608456470467367,0.870113459995076,5.72966677295753e-05
"13","CMRMTSPLx",0.008,0.00981752664229336,2.14323518443791,0.866555415221137,0.000100270701183701
"14","COMPAPFFx",0.039,-0.0931553100697615,0.824467456865086,0.824291298204264,-6.39994472141494e-07
"15","CP3Mx",0.056,-0.165839045465009,0.82169722344918,0.822030246551823,3.09278107375841e-06
"16","CPIAPPSL",0.001,0.582338930853503,0.791151272617685,0.811183887290272,-1.16657714106348e-05
"17","CPITRNSL",0.001,0.336469783627671,0.766854698803532,0.81840680525043,-1.73457261017385e-05
"18","CUMFNS",0.062,-0.109429246365873,0.935402399099994,0.844331303033666,-0.000617882167311646
"19","CUSR0000SA0L5",0.001,0.479249969399835,0.527863752792723,0.813690313866496,-0.000136982370648265
"20","DDURRG3M086SBEA",0.001,-0.378814530505234,0.93704446268621,0.813401815145514,-4.68376314785526e-05
"21","DMANEMP",0.533,0.100918786833138,0.29140708847748,0.572875606652094,-0.0151401109186863
"22","DPCERA3M086SBEA",0.001,-0.134036098384498,1.13479855966954,0.804518065713804,-4.42695087823312e-05
"23","FEDFUNDS",0.014,-0.227773118752764,0.607737863095181,0.82172558321892,0.000682369105423288
"24","GS1",0.014,-0.0385462216147553,0.386178905685197,0.818109116713006,0.000233089886909403
"25","GS5",0.001,0.0867547052464253,0.269557095434014,0.793992355466284,-4.5497226404932e-05
"26","HOUSTW",0.001,-0.132450248445842,0.47205491132718,1.02895306190754,7.37612984033987e-05
