"T","kstar","k_sqrt","k_cube","signed_gap","absolute_gap","relative_gap","ratio_to_sqrt","cube_signed_gap","cube_absolute_gap","cube_relative_gap","ratio_to_cube","min_msfe","sqrt_msfe","sqrt_excess_loss_pct","cube_msfe","cube_excess_loss_pct","near01_low","near01_high","near05_low","near05_high","k_fit","cube_reference","sqrt_reference"
75,8,9,4,-1,1,-0.125,0.923760430703401,4,4,0.5,1.8970097623947,1.065971586681,1.0687631161,0.261876531596061,1.097616619584,2.96865632240062,7,8,7,9,7.85358300237995,7.99631389083074,6.4406597493768
100,8,10,5,-2,2,-0.25,0.8,3,3,0.375,1.72354775202551,1.057950073489,1.061895213289,0.372904156714071,1.073391314116,1.45954341456556,8,9,7,10,8.6785581860163,8.80108224228288,7.43703328012297
150,10,12,5,-2,2,-0.2,0.816496580927726,5,5,0.5,1.88207205776206,1.0689078544,1.070854502041,0.182115570859276,1.099322892196,2.84543121942655,9,11,8,13,9.99051534735141,10.0747241926244,9.10846836819917
200,12,14,6,-2,2,-0.166666666666667,0.848528137423857,6,6,0.5,2.05197113601204,1.0093618089,1.011704047225,0.23205141153031,1.033868004849,2.4278901512736,11,13,9,15,11.0399633802818,11.0886687789082,10.51755332857
300,12,17,7,-5,5,-0.416666666666667,0.692820323027551,5,5,0.416666666666667,1.79256189862287,1.023593545984,1.028995187236,0.52771349264491,1.038892986121,1.49467923054285,11,14,9,16,12.708899476254,12.6933570821726,12.8813194987536
500,17,22,8,-5,5,-0.294117647058824,0.760263112349928,9,9,0.529411764705882,2.14186578482128,1.030312291849,1.033743959824,0.333070662375734,1.052489276281,2.15245266968536,15,19,12,23,15.1752420774355,15.0496389390271,16.6297119652832
800,17,28,9,-11,11,-0.647058823529412,0.601040764008565,8,8,0.470588235294118,1.8312694865271,1.014756037201,1.021926897216,0.706658522060066,1.029368518084,1.43999940353203,15,20,12,26,17.8651941131848,17.6021644845658,21.0351066571399
1200,20,35,11,-15,15,-0.75,0.577350269189626,9,9,0.45,1.88207205776206,1.003861721041,1.012708119556,0.881236760958104,1.015517737441,1.16111772724166,17,24,14,30,20.5659156907852,20.1494483852489,25.7626389975072
