"sigma_type","T_len","z","rmsfe_base","rmsfe_rs","rel_rmsfe","Q_rs_bag","L_rs_bag"
"factor",800,2,1.09450377725418,1.08593233783861,0.992168652503803,1.19148949047171,1.19300352829484
"factor",800,3,1.09450377725418,1.07883555099939,0.985684630258565,1.17371696657737,1.17670366863026
"factor",800,4,1.09450377725418,1.07282449588471,0.980192593374271,1.15975138910603,1.16418377848526
"factor",800,5,1.09450377725418,1.06924032691571,0.976917895704432,1.14845915087481,1.15431892349499
"factor",800,6,1.09450377725418,1.06534622116932,0.973360022422207,1.13795687214817,1.14522387184107
"factor",800,7,1.09450377725418,1.0616275839005,0.969962466976437,1.12826183075526,1.13691899250854
"factor",800,8,1.09450377725418,1.05876501560617,0.967347064130124,1.11887448454459,1.12890330149033
"factor",800,9,1.09450377725418,1.05610691879332,0.964918477890328,1.11011867573067,1.12150506271504
"factor",800,10,1.09450377725418,1.0528372685223,0.961931142132356,1.10159563750981,1.11432330134955
"factor",800,11,1.09450377725418,1.05034041053324,0.959649872719727,1.0935857486392,1.10764280566239
"factor",800,12,1.09450377725418,1.04880042094851,0.958242851915658,1.08605155615537,1.1014275505412
"factor",800,13,1.09450377725418,1.04635711250554,0.956010508369889,1.07875864591079,1.09544129872929
"factor",800,14,1.09450377725418,1.04495307891552,0.954727704583188,1.07197340138907,1.08995576868945
"factor",800,15,1.09450377725418,1.04284367214911,0.952800432324982,1.06553161471631,1.08480574227698
"factor",800,16,1.09450377725418,1.0420477741656,0.952073255315587,1.05940423093028,1.07996289898082
"factor",800,17,1.09450377725418,1.03842787481405,0.9487659123655,1.05348828861478,1.07532331298091
"factor",800,18,1.09450377725418,1.03789530850935,0.948279329938125,1.0480631204782,1.0711732913765
"factor",800,19,1.09450377725418,1.03624027087458,0.946767194786875,1.0429195635697,1.06730069687809
"factor",800,20,1.09450377725418,1.03588963494279,0.946446834145754,1.03801872112061,1.06366673959754
"factor",800,21,1.09450377725418,1.03413260633624,0.944841514325882,1.03335228327942,1.06026383095763
"factor",800,22,1.09450377725418,1.03336714596672,0.94414214682672,1.02898101670621,1.05715530030639
"factor",800,23,1.09450377725418,1.0324285712455,0.943284612352448,1.02485209832964,1.05428795144029
"factor",800,24,1.09450377725418,1.03231990703675,0.943185330640483,1.02101327256844,1.05171192130912
"factor",800,25,1.09450377725418,1.03179099749913,0.942702089240495,1.01731124812458,1.04927024542046
"factor",800,26,1.09450377725418,1.03127354247419,0.942229313325325,1.01394399120291,1.04716792376583
"factor",800,27,1.09450377725418,1.03021229839382,0.941259701248674,1.01059165695885,1.04507551355173
"factor",800,28,1.09450377725418,1.02977216357453,0.940857569407343,1.00760139827825,1.04335251339022
"factor",800,29,1.09450377725418,1.02962093257336,0.940719396287877,1.00472114299823,1.04173902590917
"factor",800,30,1.09450377725418,1.02988849736983,0.940963858483471,1.00202801916261,1.04031558717821
"factor",800,31,1.09450377725418,1.03060294810076,0.941616620717626,0.999533036572268,1.03909438122483
"factor",800,32,1.09450377725418,1.02942965290101,0.940544632457613,0.997154570504719,1.03799121585833
"factor",800,33,1.09450377725418,1.03020385214439,0.94125198428177,0.994986769897726,1.03710473355093
"factor",800,34,1.09450377725418,1.0300704964365,0.941130143032185,0.992939831332599,1.03634203411233
"factor",800,35,1.09450377725418,1.03037186297784,0.941405488396548,0.991040944725624,1.0357320501258
"factor",800,36,1.09450377725418,1.03079113661087,0.941788560288798,0.989303335326748,1.03528922027784
"factor",800,37,1.09450377725418,1.03179510294752,0.942705840208258,0.987700356940745,1.03498628060625
"factor",800,38,1.09450377725418,1.03164720644314,0.942570713671971,0.986231200653936,1.03482294573748
"factor",800,39,1.09450377725418,1.03249703597799,0.943347165569634,0.984902431779079,1.03480669911225
"factor",800,40,1.09450377725418,1.03382030925874,0.944556182211007,0.98366376324256,1.03488518367749
"factor",800,41,1.09450377725418,1.03407142838393,0.944785618719501,0.982564653050301,1.03511090367737
"factor",800,42,1.09450377725418,1.0351178314545,0.94574167121774,0.981613505393737,1.03549331953726
"factor",800,43,1.09450377725418,1.03635653502968,0.946873420235805,0.980748331197861,1.03596756083538
"factor",800,44,1.09450377725418,1.03672284968619,0.94720810583866,0.980011490935143,1.03657882574652
"factor",800,45,1.09450377725418,1.03738515332731,0.947813223568616,0.979382524118967,1.03730598353798
"factor",800,46,1.09450377725418,1.03939806127383,0.949652329096025,0.978870202513022,1.0381588113764
"factor",800,47,1.09450377725418,1.0404069741957,0.95057412849301,0.978475689788615,1.03913905243982
"factor",800,48,1.09450377725418,1.04171458660082,0.95176883648058,0.978184282348056,1.04023158467205
"factor",800,49,1.09450377725418,1.04303330970656,0.952973695827025,0.978002425329623,1.04144372681646
"factor",800,50,1.09450377725418,1.0444885425669,0.954303278136915,0.977929656339263,1.04277547143835
