"scenario_id","sigma_type","m","T_len","R2_target","beta_design","phi_f","phi_eta","phi_u","rho","factor_r","factor_loading_scenario","factor_strength","factor_idio_var","beta_scale_using","z","rmsfe_base","rmsfe_rs","rel_rmsfe","rmse_pooled_base","rmse_pooled_rs","bias_base","var_base","bias_rs","var_rs","Q_ols","Q_rs_bag","Q_rs_subavg","L_ols","L_rs_bag","L_rs_subavg"
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",2,1.07908830162083,1.0684397345492,0.990131885355785,1.08761128434278,1.07691925665185,3.01757219622513e-05,1.18286813010778,5.26442986255822e-05,1.15970244104895,0.734977303220269,1.14480794514976,1.22012071341943,1.0045364331307,1.15111138179784,1.22683889677746
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",3,1.07908830162083,1.05866381749324,0.981072462654901,1.08761128434278,1.06711386473769,3.01757219622513e-05,1.18286813010778,6.51234757178164e-05,1.13866687683968,0.734977303220269,1.1106500012082,1.1741815441468,1.0045364331307,1.12294829250213,1.18718367913699
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",4,1.07908830162083,1.05082579197159,0.973808899969743,1.08761128434278,1.05940208118466,3.01757219622513e-05,1.18286813010778,7.74239225852295e-05,1.1222553456958,0.734977303220269,1.08137232337024,1.14071351635791,1.0045364331307,1.09943295683283,1.15976601470402
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",5,1.07908830162083,1.04533436435852,0.968719948857194,1.08761128434278,1.05391986395847,3.01757219622513e-05,1.18286813010778,8.46453081767003e-05,1.11066243433805,0.734977303220269,1.05558013213417,1.11472813799441,1.0045364331307,1.07921776315452,1.13969165046896
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",6,1.07908830162083,1.04034602188099,0.964097210875478,1.08761128434278,1.0489432750341,3.01757219622513e-05,1.18286813010778,8.5743422848927e-05,1.10019625081641,0.734977303220269,1.03249523988767,1.09346082436101,1.0045364331307,1.06155794767995,1.12424172953771
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",7,1.07908830162083,1.03610810459014,0.960169898083294,1.08761128434278,1.04475529047149,3.01757219622513e-05,1.18286813010778,7.08046868747432e-05,1.0914428122813,0.734977303220269,1.01129122671788,1.07507525574635,1.0045364331307,1.04564315594829,1.11159670924674
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",8,1.07908830162083,1.03375404843428,0.957988374891605,1.08761128434278,1.04233832866781,3.01757219622513e-05,1.18286813010778,7.97596421661336e-05,1.08638943176783,0.734977303220269,0.992060481943069,1.05886975611754,1.0045364331307,1.03159890115435,1.10107442869545
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",9,1.07908830162083,1.03084637431461,0.955293809381717,1.08761128434278,1.03946289389749,3.01757219622513e-05,1.18286813010778,7.3378250820939e-05,1.08040972953892,0.734977303220269,0.974412711234582,1.04400675651694,1.0045364331307,1.01904930461275,1.09183570136094
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",10,1.07908830162083,1.02896527381609,0.953550578085729,1.08761128434278,1.03757040841774,3.01757219622513e-05,1.18286813010778,8.12284589405084e-05,1.07647112396522,0.734977303220269,0.958242184693275,1.03024340557015,1.0045364331307,1.00790895328698,1.08364710991518
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",11,1.07908830162083,1.02779178969138,0.952463100700475,1.08761128434278,1.03645471690517,3.01757219622513e-05,1.18286813010778,7.58715585464327e-05,1.07416250863644,0.734977303220269,0.943434845227623,1.01743150338721,1.0045364331307,0.998081928554421,1.07637040333705
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",12,1.07908830162083,1.02625028780279,0.951034578228051,1.08761128434278,1.03496744594272,3.01757219622513e-05,1.18286813010778,7.51768910644952e-05,1.07108243727013,0.734977303220269,0.929946952736676,1.00548751694214,1.0045364331307,0.98954428322846,1.06993225084567
2,"factor",50,200,0.3,"B2",0.3,0.7,0,NA,2,"random",0.5,0.25,"innovation",13,1.07908830162083,1.02567840857216,0.950504613043765,1.08761128434278,1.03442554953054,3.01757219622513e-05,1.18286813010778,6.94555493332855e-05,1.06996676197222,0.734977303220269,0.917341151026197,0.994037329642675,1.0045364331307,0.981850500510043,1.06394708194957
